"","RIC","date","ret20","MSL","GFI","MWL","Polarity","Subjectivity","Positive","Negative","Sector"
"169","AAS.L","2010/8/3",0.04721259,92,46.51014,5.65648855,0.999999666666778,0.0394736836911357,3,0,"Financials"
"170","AAS.L","2012/12/7",0.06853559,36.19231,23.27607,7.141742523,-0.142857122448982,0.0311111109728395,3,4,"Financials"
"171","AAS.L","2020/12/9",0.04619442,28.22222,20.58023,5.814049587,0.999999000001,0.0126582276878705,1,0,"Financials"
"172","AAS.L","2015/12/11",-0.006467803,38.66667,25.63908,5.713004484,0.333333222222259,0.0491803270626176,2,1,"Financials"
"173","AAS.L","2020/10/26",0.023557084,27.5,20.27272727,5.60952381,0.999999000001,0.0144927534131485,1,0,"Financials"
"174","AAS.L","2021/4/29",-0.067023475,27.5,19.36363636,5.519047619,0.999999000001,0.0147058821366782,1,0,"Financials"
"175","AAS.L","2010/12/3",-0.023315568,41.9,25.39961814,8.026479751,-0.142857122448982,0.0339805823593176,3,4,"Financials"
"176","AAS.L","2013/5/2",0.01369353,111,55.57117,6.128440367,0,0.0476190464852608,1,1,"Financials"
"177","AAS.L","2017/6/12",0.007511737,39,24.83077,5.890410959,0,0.0384615377218935,1,1,"Financials"
"178","AAS.L","2017/4/24",-0.005885248,34.5848,22.18022,7.546728972,0.111111098765433,0.0432692305612056,5,4,"Financials"
"179","AAS.L","2021/11/30",0.003470781,28.78571,20.05027,5.322512648,0.317073162998216,0.0903083698451358,27,14,"Financials"
"180","AAS.L","2015/6/23",-0.01268882,54,32.34074,6.434343434,0.333333222222259,0.0731707299226651,2,1,"Financials"
"181","AAS.L","2014/4/10",0.007682777,32.25,20.65193798,5.917355372,0,0.0444444434567901,1,1,"Financials"
"182","ABD.L","2010/8/26",0.130336308,19.71428571,15.42194617,5.828125,0.99999950000025,0.0540540525931337,2,0,"Financials"
"183","ABD.L","2013/1/16",-0.04194037,49,30.62041,6.542553191,0,0.0476190464852608,1,1,"Financials"
"184","ABD.L","2021/10/14",0.04333868,30.57143,22.69586,5.898058252,0,0.0240963852518508,1,1,"Financials"
"185","ABD.L","2022/8/1",0.035237601,27.42857143,21.1797619,6.2,0.333333222222259,0.042857142244898,2,1,"Financials"
"186","ABD.L","2014/10/7",-0.01721763,22.75,16.57253,6,0.999999000001,0.0357142844387755,1,0,"Financials"
"187","ABD.L","2014/12/15",0.04903241,30.02174,20.51702,8.501516212,-0.3333332962963,0.0481283419886185,3,6,"Financials"
"188","ABD.L","2021/1/18",0.1033435,33,23.58961,6.24537037,0.99999950000025,0.0249999996875,2,0,"Financials"
"189","ABD.L","2012/2/15",0.03078818,23.5,17.91064,5.579710145,0.999999750000062,0.0869565198487713,4,0,"Financials"
"190","ABD.L","2021/2/2",-0.03264095,36.83333333,25.41206637,5.944700461,0,0.0253164553757411,1,1,"Financials"
"191","ABD.L","2021/2/11",-0.1187151,3,1.2,5,0,0,0,0,"Financials"
"192","ABD.L","2011/12/6",-0.030483801,50,30.4,6.234042553,0.333333222222259,0.0882352915224914,2,1,"Financials"
"193","ABD.L","2011/5/4",-0.020910077,91.33333333,46.02238443,5.526923077,0.999999666666778,0.041666666087963,3,0,"Financials"
"194","ABD.L","2015/2/3",0.021131561,108,55.05185185,6.188679245,0,0.0526315775623269,1,1,"Financials"
"195","ABD.L","2022/2/14",-0.06885246,30.57143,22.69586,5.883495146,0,0.0240963852518508,1,1,"Financials"
"196","ABD.L","2012/12/31",0.046527168,27,20.8,5.732673267,0.99999950000025,0.0645161269510927,2,0,"Financials"
"197","ABD.L","2013/12/27",-0.035988049,61.5,32.7300813,5.913793103,0,0.0476190464852608,1,1,"Financials"
"198","ABD.L","2017/11/29",0.005353655,49,29.80408,6.130434783,0.999999000001,0.0312499990234375,1,0,"Financials"
"199","ABD.L","2019/11/4",2.45e-10,31.2,24.01846,6.177631579,0,0.0317460312421265,1,1,"Financials"
"200","ABD.L","2010/1/5",-0.05251313,43.5,27.05517,6.472972973,0.999999000001,0.0263157887811634,1,0,"Financials"
"201","ABD.L","2020/1/10",-0.013384321,26.28571429,19.8621118,5.965909091,0,0.0294117642733564,1,1,"Financials"
"202","ABD.L","2022/12/14",0.0297914,33.8674,21.90585,8.142102053,0.142857132653062,0.0598290595733801,8,6,"Financials"
"203","ABDN.L","2022/5/30",-0.148469235,32.5,22.53846154,6.418767507,0.749999953125003,0.0680851060932549,14,2,"Financials"
"204","ABDN.L","2021/11/8",-0.08525616,26.33333,20.82869,6.58411215,0.999999000001,0.0123456788599299,1,0,"Financials"
"205","ABDP.L","2016/3/2",0.316712717,36,24.4,6.880208333,0.428571367346948,0.0933333320888889,5,2,"Consumer Cyclicals"
"206","ABDP.L","2015/12/10",0.07362251,32,22.66111,6.268939394,0.599999880000024,0.0555555549382716,4,1,"Consumer Cyclicals"
"207","ABDP.L","2018/4/24",0.1100883,49.16667,27.89266,9.465016659,0.166666652777779,0.0563380279045163,7,5,"Consumer Cyclicals"
"208","ABDP.L","2013/7/1",-0.0387931,26.90909,19.14201,5.7875,0.333333314814816,0.098360655200215,12,6,"Consumer Cyclicals"
"209","ABDP.L","2016/7/4",0.203703704,35.28571429,24.47865818,6.497757848,0.499999875000031,0.0512820506245891,3,1,"Consumer Cyclicals"
